shape function name	shape name	super class	set of base actions	turn angles
triangle_parallelogram	triangle parallelogram	hexagon	line_0.4, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--R26.565--L153.435--R63.435--L116.565
inverse_triangle_parallel	inverse triangle parallelogram	hexagon	line_0.4, line_0.671, line_0.4, line_0.447, line_0.2, line_0.671	L0--L116.565--L153.435--R153.435--L63.435--L116.565
symmetric_arrow	symmetric arrow	hexagon	line_1.0, line_0.583, line_0.583, line_1.0, line_0.583, line_0.583	L0--L59.036--L61.928--L59.036--L120.964--R61.928
asymmetric_arrow	asymmetric arrow	hexagon	line_1.0, line_0.361, line_0.854, line_1.0, line_0.854, line_0.361	L0--L33.69--L76.866--L69.444--L110.556--R76.866
thin_symmetric_arrow	thin symmetric arrow	hexagon	line_1.0, line_0.316, line_0.316, line_1.0, line_0.316, line_0.316	L0--L18.435--L143.13--L18.435--L161.565--R143.13
thin_asymmetric_arrow	thin asymmetric arrow	hexagon	line_1.0, line_0.5, line_0.361, line_1.0, line_0.316, line_0.316	L0--L53.13--L160.56--R33.69--L161.565--R143.13
thin_symmetric_boat	thin symmetric boat	hexagon	line_1.0, line_0.5, line_0.361, line_1.0, line_0.361, line_0.5	L0--L53.13--L160.56--R33.69--R33.69--L160.56
symmetric_cup	symmetric cup	hexagon	line_1.0, line_0.5, line_0.5, line_1.0, line_0.5, line_0.5	L0--L126.87--R73.74--L126.87--L126.87--R73.74
asymmetric_cup	asymmetric cup	hexagon	line_1.0, line_0.781, line_0.539, line_1.0, line_0.5, line_0.5	L0--L129.806--R108.004--L158.199--L126.87--R73.74
unbalanced_symm_cup	unbalanced symmetric cup	hexagon	line_1.0, line_0.806, line_0.412, line_1.0, line_0.412, line_0.806	L0--L119.745--R105.709--L165.964--L165.964--R105.709
thin_symmetric_cup	thin symmetric cup	hexagon	line_1.0, line_0.316, line_0.316, line_1.0, line_0.316, line_0.316	L0--L161.565--R143.13--L161.565--L161.565--R143.13
thin_unbalanced_symm_cup	thin unbalanced asymmetric cup	hexagon	line_1.0, line_0.608, line_0.608, line_1.0, line_0.224, line_0.224	L0--L170.538--R161.075--L170.538--L153.435--R126.87
thin_z	thin z	hexagon	line_0.632, line_0.361, line_0.447, line_0.632, line_0.361, line_0.447	L0--L127.875--R119.745--L171.87--L127.875--R119.745
square_right_triangle	square right_triangle	hexagon*	line_1.0, line_0.5, line_0.707, line_0.5, line_0.5, line_0.5	L0--L90.0--L135.0--R135.0--L90.0--L90.0
square_down_right_triangle	square down right_triangle	hexagon*	line_1.0, line_0.5, line_0.707, line_0.5, line_0.5, line_0.5	L0--R90.0--R135.0--R45.0--L90.0--L90.0
thin_rec_right_triangle	thin rectangle right_triangle	hexagon*	line_1.0, line_0.153, line_0.415, line_0.153, line_0.615, line_0.153	L0--L90.0--L111.801--R111.801--L90.0--L90.0
thin_rec_down_right_triangle	thin rectangle down right_triangle	hexagon*	line_1.0, line_0.153, line_0.415, line_0.153, line_0.615, line_0.153	L0--R90.0--R111.801--R68.199--L90.0--L90.0
unbala_trapezoid_right_triangle	unbalanced trapezoid right_triangle	hexagon*	line_1.0, line_0.283, line_0.2, line_0.583, line_0.5, line_0.5	L0--L135.0--L135.0--R149.036--L59.036--L90.0
unbala_trapez_down_right_triangle	unbalanced trapezoid down right_triangle	hexagon*	line_1.0, line_0.283, line_0.2, line_0.583, line_0.5, line_0.5	L0--R135.0--R135.0--L30.964--L59.036--L90.0
unbala_dagger_triangle	unbalanced dagger triangle	hexagon*	line_1.0, line_0.224, line_0.224, line_0.849, line_0.4, line_0.283	L0--L116.565--L126.87--R108.435--L135.0--R45.0
two_symm_bala_quadrangles	two symmetric quadrangles	hexagon*	line_0.922, line_0.424, line_0.424, line_0.922, line_0.424, line_0.424	L0--R85.601--R90.0--R85.601--L85.601--L90.0
two_symm_unbala_quadrangles	two symm_unbala quadrangles	hexagon*	line_0.894, line_0.224, line_0.224, line_0.894, line_0.424, line_0.424	L0--R53.13--R126.87--R53.13--L71.565--L90.0
two_asymm_bala_quadrangles	two asymm_bala quadrangles	hexagon*	line_1.0, line_0.399, line_0.399, line_0.758, line_0.399, line_0.399	L0--R93.814--R90.0--R74.745--L74.745--L90.0
two_asymm_unbala_quadrangles	two asymm_unbala quadrangles	hexagon*	line_1.0, line_0.224, line_0.316, line_0.728, line_0.424, line_0.424	L0--R63.435--R135.0--R34.38--L60.945--L90.0
thin_symm_quagrangles	thin symm_quagrangles	hexagon*	line_0.728, line_0.316, line_0.316, line_0.728, line_0.316, line_0.316	L0--R34.38--R143.13--R34.38--L34.38--L143.13
thin_asymm_quagrangles	thin asymm_quagrangles	hexagon*	line_0.728, line_0.361, line_0.539, line_0.728, line_0.316, line_0.316	L0--L40.365--R168.111--R84.144--L34.38--L143.13
symmetric_goldfish	symmetric goldfish	hexagon*	line_0.922, line_0.361, line_0.361, line_0.922, line_0.424, line_0.424	L0--R164.291--L67.38--R164.291--L85.601--L90.0
asymmetric_goldfish	asymmetric goldfish	hexagon*	line_0.922, line_0.361, line_0.361, line_0.762, line_0.3, line_0.424	L0--R164.291--L67.38--R146.889--L23.199--L135.0
symm_unbala_goldfish	symmmetric unbalanced goldfish	hexagon*	line_0.894, line_0.316, line_0.316, line_0.894, line_0.224, line_0.224	L0--R135.0--L36.87--R135.0--L53.13--L126.87
asymm_unbala_goldfish	asymmmetric unbalanced goldfish	hexagon*	line_1.0, line_0.51, line_0.224, line_0.854, line_0.224, line_0.224	L0--R138.18--L37.875--R137.121--L47.121--L126.87
thin_symmetric_goldfish	thin symmetric goldfish	hexagon*	line_0.728, line_0.141, line_0.141, line_0.728, line_0.316, line_0.316	L0--R150.945--L90.0--R150.945--L34.38--L143.13
regular_x	regular x	hexagon*	line_1.0, line_0.316, line_0.316, line_1.0, line_0.316, line_0.316	L0--R145.305--L36.87--R145.305--L145.305--R36.87
pointy_regular_x	pointy regular x	hexagon*	line_1.0, line_0.364, line_0.364, line_1.0, line_0.364, line_0.364	L0--R165.984--L90.0--R165.984--L165.984--R90.0
symmetric_bala_x	symmetric balanced x	hexagon*	line_1.0, line_0.361, line_0.361, line_1.0, line_0.316, line_0.316	L0--R160.56--L67.38--R160.56--L145.305--R36.87
symmetric_unbala_x	symmetric unbalanced x	hexagon*	line_1.0, line_0.427, line_0.427, line_1.0, line_0.224, line_0.224	L0--R147.591--L41.395--R147.591--L153.435--R53.13
asymmetric_unbala_x	asymmetric unbalanced x	hexagon*	line_1.0, line_0.608, line_0.224, line_1.0, line_0.224, line_0.224	L0--R136.332--L36.027--R153.435--L153.435--R53.13
transposed_x	transposed x	hexagon*	line_1.0, line_0.361, line_0.3, line_0.721, line_0.3, line_0.361	L0--R160.56--L33.69--R146.31--L146.31--R33.69
thin_transposed_x	thin transposed x	hexagon*	line_1.0, line_0.424, line_0.141, line_0.447, line_0.141, line_0.424	L0--R171.87--L90.0--R161.565--L161.565--R90.0
thin_irregular_x	thin irregular x	hexagon*	line_0.809, line_0.138, line_0.31, line_1.0, line_0.31, line_0.31	L0--R149.036--L116.565--R172.875--L172.875--R143.13
regular_heptagon	regular heptagon	heptagon	line_0.4, line_0.4, line_0.4, line_0.4, line_0.4, line_0.4, line_0.4	L0--L51.429--L51.429--L51.429--L51.429--L51.429--L51.429
symmetric_mouth	symmetric mouth	heptagon	line_0.5, line_0.424, line_0.5, line_0.361, line_0.7, line_0.7, line_0.361	L0--L45.0--L45.0--L56.31--L123.69--R90.0--L123.69
asymmetric_mouth	asymmetric mouth	heptagon	line_0.5, line_0.424, line_0.5, line_0.361, line_0.922, line_0.539, line_0.361	L0--L45.0--L45.0--L56.31--L111.61--R99.273--L145.491
irregular_heptagon	irregular heptagon	heptagon	line_0.8, line_0.4, line_0.447, line_0.447, line_0.5, line_0.4, line_0.361	L0--L90.0--L26.565--L36.87--L63.435--L53.13--L33.69
right_nose	right nose	heptagon	line_0.539, line_0.3, line_0.64, line_0.5, line_0.3, line_0.583, line_0.5	L0--L111.801--R51.34--L141.34--R90.0--L120.964--L59.036
symmetric_nose	symmetric nose	heptagon	line_0.4, line_0.316, line_0.539, line_0.539, line_0.316, line_0.4, line_1.0	L0--L71.565--R49.764--L136.397--R49.764--L71.565--L90.0
asymmetric_nose	asymmetric nose	heptagon	line_0.4, line_0.3, line_0.539, line_0.5, line_0.5, line_0.64, line_0.5	L0--L90.0--R68.199--L158.199--R90.0--L141.34--L38.66
symmetric_crown	symmetric crown	heptagon	line_1.0, line_0.583, line_0.539, line_0.539, line_0.583, line_1.0, line_1.0	L0--L149.036--R127.235--L136.397--R127.235--L149.036--L90.0
asymmetric_crown	asymmetric crown	heptagon	line_0.6, line_0.583, line_0.539, line_0.539, line_0.583, line_0.922, line_0.854	L0--L149.036--R127.235--L136.397--R127.235--L161.565--L98.027
symmetric_clamp	symmetric clamp	heptagon	line_0.922, line_0.316, line_0.316, line_0.922, line_0.447, line_0.2, line_0.447	L0--L149.036--R143.13--L149.036--L165.964--R63.435--R63.435
asymmetric_clamp	asymmetric clamp	heptagon	line_0.949, line_0.3, line_0.361, line_0.906, line_0.447, line_0.1, line_0.5	L0--L161.565--R146.31--L139.97--L159.775--R63.435--R53.13
irregular_octagon	irregular octagon	octagon	line_0.3, line_0.361, line_0.361, line_0.3, line_0.2, line_0.361, line_0.539, line_0.447	L0--R33.69--L90.0--L33.69--L90.0--L33.69--R55.491--L138.366
regular_lamp	regular lamp	octagon	line_0.361, line_0.6, line_0.361, line_0.9, line_0.361, line_0.6, line_0.361, line_0.9	L0--R56.31--R56.31--L146.31--L146.31--R56.31--R56.31--L146.31
symmetric_lamp	symmetric lamp	octagon	line_0.361, line_0.6, line_0.447, line_1.0, line_0.447, line_0.6, line_0.361, line_0.6	L0--R33.69--R63.435--L153.435--L153.435--R63.435--R33.69--L123.69
transposed_lamp	transposed lamp	octagon	line_0.361, line_0.6, line_0.412, line_0.825, line_0.361, line_0.6, line_0.412, line_0.825	L0--R33.69--R75.964--L151.928--L137.726--R33.69--R75.964--L151.928
asymmetric_lamp	asymmetric lamp	octagon	line_0.361, line_0.5, line_0.316, line_0.424, line_0.447, line_0.5, line_0.412, line_0.825	L0--R33.69--R71.565--L116.565--L108.435--L26.565--R75.964--L151.928
thin_regular_lamp	thin regular lamp	octagon	line_0.141, line_0.8, line_0.141, line_0.3, line_0.141, line_0.8, line_0.141, line_0.3	L0--R45.0--R45.0--L135.0--L135.0--R45.0--R45.0--L135.0
unbala_regular_lamp	unbalanced regular lamp	octagon	line_0.224, line_0.3, line_0.721, line_1.0, line_0.721, line_0.3, line_0.224, line_0.6	L0--R63.435--R33.69--L123.69--L123.69--R33.69--R63.435--L153.435
